tool_id,name,method,frame,frame_ms,n_points,d_axis0_deg,d_axis1_deg,d_axis2_deg,jitter_max_deg,flip,stable,power_iter
T01,long_nose_pliers,raw,0,0.09229,1802,0.0,0.0,0.0,0.0,0,1,0
T01,long_nose_pliers,raw,1,0.08712,1800,0.242,0.8865,0.8553,0.8865,0,1,0
T01,long_nose_pliers,raw,2,0.10087,1800,0.0625,0.2155,0.2063,0.2155,0,1,0
T01,long_nose_pliers,raw,3,0.11679,1800,0.0353,0.0347,0.0427,0.0427,0,1,0
T01,long_nose_pliers,raw,4,0.10529,1805,0.0839,4.9161,4.9167,4.9167,0,1,0
T01,long_nose_pliers,raw,5,0.13621,1801,0.1499,5.2173,5.2195,5.2195,0,1,0
T01,long_nose_pliers,raw,6,0.10733,1800,0.0973,0.2465,0.2601,0.2601,0,1,0
T01,long_nose_pliers,raw,7,0.09363,1800,0.0508,0.0837,0.0841,0.0841,0,1,0
T01,long_nose_pliers,raw,8,0.09729,1804,0.1281,3.1007,3.1024,3.1024,0,1,0
T01,long_nose_pliers,raw,9,0.09137,1800,0.0893,3.2509,3.2521,3.2521,0,1,0
T01,long_nose_pliers,raw,10,0.09738,1804,0.2711,5.2055,5.2023,5.2055,0,1,0
T01,long_nose_pliers,raw,11,0.08942,1804,0.3829,177.3175,177.3277,177.3277,1,1,0
T01,long_nose_pliers,raw,12,0.11287,1803,0.0846,167.6203,167.6204,167.6204,1,1,0
T01,long_nose_pliers,raw,13,0.10033,1800,0.036,4.0202,4.0202,4.0202,0,1,0
T01,long_nose_pliers,raw,14,0.0985,1800,0.0234,0.2486,0.249,0.249,0,1,0
T01,long_nose_pliers,raw,15,0.09213,1800,0.0694,0.2211,0.2144,0.2211,0,1,0
T01,long_nose_pliers,raw,16,0.09417,1804,0.2062,0.9308,0.9314,0.9314,0,1,0
T01,long_nose_pliers,raw,17,0.08662,1800,0.1533,0.9056,0.9063,0.9063,0,1,0
T01,long_nose_pliers,raw,18,0.08467,1805,0.0688,3.6718,3.6723,3.6723,0,1,0
T01,long_nose_pliers,raw,19,0.08504,1800,0.0782,3.6162,3.6165,3.6165,0,1,0
T01,long_nose_pliers,raw,20,0.08358,1800,0.0631,0.1041,0.0965,0.1041,0,1,0
T01,long_nose_pliers,raw,21,0.08346,1800,0.0286,0.1498,0.1516,0.1516,0,1,0
T01,long_nose_pliers,raw,22,0.10329,1802,0.0114,172.6916,172.6916,172.6916,1,1,0
T01,long_nose_pliers,raw,23,0.09467,1800,0.04,172.9483,172.9484,172.9484,1,1,0
T01,long_nose_pliers,raw,24,0.09433,1804,0.1876,0.494,0.4573,0.494,0,1,0
T01,long_nose_pliers,raw,25,0.09787,1800,0.192,0.3808,0.3289,0.3808,0,1,0
T01,long_nose_pliers,raw,26,0.09679,1802,0.0814,4.8026,4.8024,4.8026,0,1,0
T01,long_nose_pliers,raw,27,0.11696,1800,0.1078,5.1739,5.1731,5.1739,0,1,0
T01,long_nose_pliers,raw,28,0.08587,1800,0.0227,0.2571,0.2576,0.2576,0,1,0
T01,long_nose_pliers,raw,29,0.09267,1800,0.0247,0.2981,0.2971,0.2981,0,1,0
T01,long_nose_pliers,raw,30,0.10113,1800,0.0622,0.4424,0.4381,0.4424,0,1,0
T01,long_nose_pliers,raw,31,0.09433,1804,0.1371,4.4726,4.4718,4.4726,0,1,0
T01,long_nose_pliers,raw,32,0.09588,1803,0.202,5.0337,5.0371,5.0371,0,1,0
T01,long_nose_pliers,raw,33,0.08592,1800,0.2821,0.9984,1.0286,1.0286,0,1,0
T01,long_nose_pliers,raw,34,0.09008,1805,0.322,1.9787,1.999,1.999,0,1,0
T01,long_nose_pliers,raw,35,0.09487,1801,0.328,1.4739,1.5001,1.5001,0,1,0
T01,long_nose_pliers,raw,36,0.09296,1805,0.2469,168.7537,168.7516,168.7537,1,1,0
T01,long_nose_pliers,raw,37,0.09117,1805,0.2128,166.7343,166.7332,166.7343,1,1,0
T01,long_nose_pliers,raw,38,0.09146,1805,0.1155,5.3499,5.3487,5.3499,0,1,0
T01,long_nose_pliers,raw,39,0.08458,1800,0.1381,2.3619,2.3585,2.3619,0,1,0
T01,long_nose_pliers,raw,40,0.093,1803,0.0907,1.5108,1.5083,1.5108,0,1,0
T01,long_nose_pliers,raw,41,0.09162,1800,0.107,2.0721,2.0703,2.0721,0,1,0
T01,long_nose_pliers,raw,42,0.09367,1800,0.0642,0.0328,0.0664,0.0664,0,1,0
T01,long_nose_pliers,raw,43,0.09133,1800,0.0533,0.2192,0.2245,0.2245,0,1,0
T01,long_nose_pliers,raw,44,0.09483,1800,0.0434,0.1896,0.1901,0.1901,0,1,0
T01,long_nose_pliers,raw,45,0.0905,1800,0.0241,0.1383,0.1371,0.1383,0,1,0
T01,long_nose_pliers,raw,46,0.10367,1800,0.045,0.1899,0.1941,0.1941,0,1,0
T01,long_nose_pliers,raw,47,0.0875,1800,0.0849,0.4405,0.4481,0.4481,0,1,0
T01,long_nose_pliers,raw,48,0.09896,1804,0.0751,0.7157,0.7149,0.7157,0,1,0
T01,long_nose_pliers,raw,49,0.08471,1800,0.1622,0.4132,0.4302,0.4302,0,1,0
T01,long_nose_pliers,raw,50,0.09846,1800,0.0657,0.037,0.0752,0.0752,0,1,0
T01,long_nose_pliers,raw,51,0.10108,1800,0.051,0.0481,0.0346,0.051,0,1,0
T01,long_nose_pliers,raw,52,0.11329,1800,0.0231,0.1109,0.1087,0.1109,0,1,0
T01,long_nose_pliers,raw,53,0.08687,1804,0.2843,11.0764,11.0747,11.0764,0,1,0
T01,long_nose_pliers,raw,54,0.10042,1801,0.1537,9.6382,9.6373,9.6382,0,1,0
T01,long_nose_pliers,raw,55,0.09637,1800,0.1611,1.5851,1.5785,1.5851,0,1,0
T01,long_nose_pliers,raw,56,0.09846,1800,0.068,0.2359,0.2279,0.2359,0,1,0
T01,long_nose_pliers,raw,57,0.08808,1800,0.0223,0.0521,0.0491,0.0521,0,1,0
T01,long_nose_pliers,raw,58,0.09412,1800,0.0614,0.0615,0.0049,0.0615,0,1,0
T01,long_nose_pliers,raw,59,0.09771,1800,0.0925,0.0642,0.072,0.0925,0,1,0
T01,long_nose_pliers,raw,60,0.10163,1802,0.0398,1.7918,1.7921,1.7921,0,1,0
T01,long_nose_pliers,raw,61,0.08767,1800,0.0749,1.8699,1.8694,1.8699,0,1,0
T01,long_nose_pliers,raw,62,0.10917,1800,0.0726,0.1831,0.175,0.1831,0,1,0
T01,long_nose_pliers,raw,63,0.09275,1802,0.2981,6.427,6.4243,6.427,0,1,0
T01,long_nose_pliers,raw,64,0.09429,1800,0.3391,6.5866,6.5875,6.5875,0,1,0
T01,long_nose_pliers,raw,65,0.09329,1800,0.114,0.1497,0.1752,0.1752,0,1,0
