tool_id,name,method,n_points,minor_symmetry,seq_time_ms,frame_ms_mean,frame_ms_median,frame_ms_p95,frame_ms_std,fps_est,flip_count,flip_pct,jitter_mean_deg,jitter_p95_deg,jitter_max_deg,stable_frame_pct,power_iter_frames,speedup_vs_기존_pct,speedup_vs_raw_pct,flip_reduction_vs_raw
T01,long_nose_pliers,raw,1800,clear,17.6135,0.09323,0.09229,0.10735,0.00853,10726.4,10,5.03,10.4954,27.7756,177.3277,100.0,0,96.37,-7.5,10
T01,long_nose_pliers,기존_PoseStabilizer,1800,clear,521.6138,2.63226,2.59212,2.81688,0.09654,379.9,0,0.0,0.3512,0.8151,1.0828,100.0,0,96.37,-7.5,10
T01,long_nose_pliers,수정_RealtimePCASmoother,1800,clear,18.9345,0.09308,0.0919,0.10345,0.00709,10743.9,0,0.0,2.3513,8.603,13.2668,100.0,0,96.37,-7.5,10
T02,precision_cutter,raw,1500,clear,15.6359,0.07888,0.07519,0.08893,0.02659,12677.0,14,7.04,13.8335,159.4377,172.6631,100.0,0,96.72,-8.53,14
T02,precision_cutter,기존_PoseStabilizer,1500,clear,516.6107,2.55372,2.52554,2.75373,0.09014,391.6,0,0.0,0.2958,0.6649,1.0274,100.0,0,96.72,-8.53,14
T02,precision_cutter,수정_RealtimePCASmoother,1500,clear,16.9702,0.08411,0.08177,0.09545,0.0092,11888.9,0,0.0,3.3012,12.7427,42.3706,100.0,0,96.72,-8.53,14
T03,vernier_caliper,raw,2200,clear,20.0969,0.09795,0.09623,0.10977,0.00735,10209.1,0,0.0,0.3553,1.3114,2.2322,100.0,0,95.93,-8.51,0
T03,vernier_caliper,기존_PoseStabilizer,2200,clear,535.5691,2.63943,2.62025,2.78035,0.07299,378.9,0,0.0,0.1242,0.3137,0.4849,100.0,0,95.93,-8.51,0
T03,vernier_caliper,수정_RealtimePCASmoother,2200,clear,21.8062,0.10773,0.10492,0.12147,0.00961,9282.8,0,0.0,0.3553,1.3114,2.2322,100.0,0,95.93,-8.51,0
T04,hex_wrench,raw,1200,degenerate,13.6004,0.06695,0.0656,0.07187,0.0079,14936.2,72,36.18,58.2917,158.6889,174.2474,28.5,0,96.93,-13.47,72
T04,hex_wrench,기존_PoseStabilizer,1200,degenerate,502.5378,2.50419,2.47548,2.68944,0.08314,399.3,0,0.0,3.391,7.9525,10.7261,28.5,0,96.93,-13.47,72
T04,hex_wrench,수정_RealtimePCASmoother,1200,degenerate,15.4321,0.07519,0.07296,0.08623,0.00618,13299.0,0,0.0,32.7681,80.7033,88.9588,28.5,27,96.93,-13.47,72
T05,nipper,raw,1600,clear,16.4894,0.08214,0.07929,0.09378,0.0074,12174.5,16,8.04,14.7818,175.852,178.0535,100.0,0,95.79,-31.76,16
T05,nipper,기존_PoseStabilizer,1600,clear,515.5546,2.56759,2.54692,2.70136,0.07337,389.5,0,0.0,0.3683,0.7807,1.0717,100.0,0,95.79,-31.76,16
T05,nipper,수정_RealtimePCASmoother,1600,clear,21.7271,0.39388,0.09981,0.82929,2.39311,2538.9,0,0.0,0.9928,3.9307,9.2352,100.0,0,95.79,-31.76,16
T06,wire_stripper,raw,1700,clear,17.506,0.08499,0.08225,0.09846,0.01,11766.4,0,0.0,1.1132,3.9779,5.2358,100.0,0,96.42,-5.81,0
T06,wire_stripper,기존_PoseStabilizer,1700,clear,517.9928,2.57387,2.5489,2.74968,0.08432,388.5,0,0.0,0.5757,1.446,4.4276,100.0,0,96.42,-5.81,0
T06,wire_stripper,수정_RealtimePCASmoother,1700,clear,18.5231,0.09203,0.08879,0.11054,0.00925,10866.2,0,0.0,1.1132,3.9779,5.2358,100.0,0,96.42,-5.81,0
T07,screwdriver,raw,1500,degenerate,15.848,0.07938,0.07598,0.09546,0.0114,12598.2,92,46.23,69.3195,164.1475,176.6417,17.5,0,96.55,-11.33,92
T07,screwdriver,기존_PoseStabilizer,1500,degenerate,512.094,2.54239,2.5191,2.68304,0.06717,393.3,0,0.0,2.7341,6.8101,10.2599,17.5,0,96.55,-11.33,92
T07,screwdriver,수정_RealtimePCASmoother,1500,degenerate,17.6444,0.0894,0.08654,0.10611,0.01362,11185.4,0,0.0,30.5421,82.4236,89.5921,17.5,33,96.55,-11.33,92
T08,hex_key_small,raw,900,degenerate,11.5899,0.05688,0.056,0.06386,0.00429,17579.7,97,48.74,80.5072,175.6731,178.5165,23.5,0,97.29,-15.42,97
T08,hex_key_small,기존_PoseStabilizer,900,degenerate,493.2211,2.44021,2.4209,2.56705,0.06562,409.8,0,0.0,7.121,20.1579,44.9208,23.5,0,97.29,-15.42,97
T08,hex_key_small,수정_RealtimePCASmoother,900,degenerate,13.3768,0.06571,0.06298,0.07814,0.0079,15218.1,0,0.0,41.2898,84.1308,89.8388,23.5,32,97.29,-15.42,97
T09,wire_cutter,raw,1600,clear,16.568,0.08023,0.07863,0.09218,0.00579,12463.5,6,3.02,6.4909,6.3235,173.5876,100.0,0,96.57,-6.65,6
T09,wire_cutter,기존_PoseStabilizer,1600,clear,514.9726,2.5503,2.5325,2.70966,0.06381,392.1,0,0.0,10.2594,24.2831,36.2051,100.0,0,96.57,-6.65,6
T09,wire_cutter,수정_RealtimePCASmoother,1600,clear,17.6694,0.08924,0.08508,0.1073,0.01623,11205.6,0,0.0,1.4981,6.2999,11.2544,100.0,0,96.57,-6.65,6
T10,round_file,raw,1500,degenerate,15.5128,0.07446,0.0736,0.08029,0.00701,13430.4,61,30.65,45.3117,141.3844,165.5627,25.0,0,96.58,-12.7,61
T10,round_file,기존_PoseStabilizer,1500,degenerate,511.7186,2.53914,2.52056,2.68327,0.0633,393.8,0,0.0,2.7602,6.7027,10.2585,25.0,0,96.58,-12.7,61
T10,round_file,수정_RealtimePCASmoother,1500,degenerate,17.4832,0.08393,0.08238,0.09475,0.00665,11914.1,0,0.0,25.6172,80.3159,89.346,25.0,26,96.58,-12.7,61
