frame,use_trim,acc_raw_deg,acc_smooth_deg,raw_flip
0,0,0.6263,0.6263,0
1,0,1.7428,1.7428,0
2,0,0.3309,0.3309,0
3,0,0.4501,0.4501,0
4,0,2.0964,1.9925,0
5,0,0.4923,0.4923,0
6,0,1.5426,1.5426,0
7,0,1.1809,1.1809,0
8,0,1.8063,1.8063,0
9,0,2.6158,3.1182,0
10,0,0.4057,0.4057,0
11,0,0.4649,0.4649,0
12,0,0.7492,0.7492,0
13,0,0.9556,0.9556,0
14,0,0.8068,0.8068,0
15,0,1.5437,1.5437,0
16,0,2.2061,2.2061,0
17,0,0.3758,0.3758,0
18,0,0.5582,0.5582,0
19,0,1.0745,1.8569,0
20,0,1.4586,1.4586,0
21,0,0.1955,0.1955,0
22,0,1.2832,1.2832,0
23,0,0.5857,0.5857,0
24,0,1.4107,1.6136,0
25,0,0.9831,0.9831,0
26,0,0.4519,0.4519,0
27,0,1.5565,1.5565,0
28,0,1.0013,1.0013,0
29,0,0.7749,0.6609,0
30,0,0.9447,0.9447,0
31,0,1.7807,1.7807,0
32,0,1.3443,1.3443,0
33,0,0.9541,0.9541,0
34,0,0.9354,0.8048,0
35,0,0.886,0.886,0
36,0,0.5117,0.5117,0
37,0,0.7028,0.7028,0
38,0,1.4915,1.4915,0
39,0,1.4113,2.2457,0
40,0,0.8308,0.8308,0
41,0,0.9409,0.9409,0
42,0,0.4436,0.4436,0
43,0,0.4037,0.4037,0
44,0,0.8783,0.8783,0
45,0,2.0042,2.0042,0
46,0,0.9431,0.9431,0
47,0,0.6389,0.6389,0
48,0,1.2965,1.2965,0
49,0,0.4624,0.4624,0
50,0,1.0407,1.0407,0
51,0,1.5468,1.5468,0
52,0,0.8063,0.8063,0
53,0,1.1494,1.1494,0
54,0,1.1678,4.3374,0
55,0,0.4803,0.4803,0
56,0,1.6448,1.6448,0
57,0,1.463,1.463,0
58,0,0.519,0.519,0
59,0,0.8754,1.1084,0
60,0,0.4961,0.4961,0
61,0,0.3363,0.3363,0
62,0,1.2196,1.2196,0
63,0,0.6955,0.6955,0
64,0,0.7687,0.6256,0
65,0,1.4038,1.4038,0
66,0,0.5694,0.5694,0
67,0,0.5665,0.5665,0
68,0,0.5799,0.5799,0
69,0,0.7239,2.5732,0
70,0,0.3541,0.3541,0
71,0,1.6262,1.6262,0
72,0,0.643,0.643,0
73,0,0.7041,0.7041,0
74,0,0.8171,1.0365,0
75,0,1.5402,1.5402,0
76,0,1.1517,1.1517,0
77,0,1.3255,1.3255,0
78,0,0.5042,0.5042,0
