tool,frame,gt_yaw,flip_trap,n_pts,err_raw,err_pose,err_smooth,signed_raw,signed_smooth
pliers_box,0,0.0,0,333,0.3713,0.3807,0.3713,179.63,179.63
pliers_box,1,0.5,0,333,0.3754,0.09,0.3754,179.62,179.62
pliers_box,2,1.0,0,333,0.3574,0.2913,0.3574,179.64,179.64
pliers_box,3,1.5,0,333,0.4835,0.4732,0.4835,179.52,179.52
pliers_box,4,2.0,0,333,0.4686,0.6125,0.4686,179.53,179.53
pliers_box,5,2.5,0,333,0.3731,0.7428,0.3731,179.63,179.63
pliers_box,6,3.0,0,333,0.5184,0.828,0.5184,179.48,179.48
pliers_box,7,3.5,0,333,0.4123,0.9352,0.4123,179.59,179.59
pliers_box,8,4.0,0,333,0.5342,0.9992,0.5342,179.47,179.47
pliers_box,9,4.5,0,333,0.4008,1.0846,0.4008,179.6,179.6
pliers_box,10,5.0,0,333,0.4468,1.1423,0.4468,179.55,179.55
pliers_box,11,5.5,0,333,0.3678,1.1836,0.3678,179.63,179.63
pliers_box,12,6.0,0,333,0.4203,1.1694,0.4203,179.58,179.58
pliers_box,13,6.5,0,333,0.4281,1.2137,0.4281,179.57,179.57
pliers_box,14,7.0,0,333,0.4243,1.197,0.4243,179.58,179.58
pliers_box,15,7.5,0,333,0.5282,1.1661,0.5282,179.47,179.47
pliers_box,16,8.0,0,333,0.5071,1.1279,0.5071,179.49,179.49
pliers_box,17,8.5,0,333,0.5066,1.1466,0.5066,179.49,179.49
pliers_box,18,9.0,0,333,0.4931,1.1309,0.4931,179.51,179.51
pliers_box,19,9.5,0,333,0.4455,1.1201,0.4455,179.55,179.55
pliers_box,20,10.0,0,333,0.4347,1.1109,0.4347,179.57,179.57
pliers_box,21,10.5,0,333,0.4509,1.0723,0.4509,179.55,179.55
pliers_box,22,11.0,0,333,0.4437,1.0857,0.4437,179.56,179.56
pliers_box,23,11.5,0,333,0.5273,1.0857,0.5273,179.47,179.47
pliers_box,24,12.0,0,333,0.366,1.0984,0.366,179.63,179.63
pliers_box,25,12.5,0,333,0.4527,1.0909,0.4527,179.55,179.55
pliers_box,26,13.0,0,333,0.3326,1.1473,0.3326,179.67,179.67
pliers_box,27,13.5,0,333,0.3677,1.1607,0.3677,179.63,179.63
pliers_box,28,14.0,0,333,0.4074,1.1459,0.4074,179.59,179.59
pliers_box,29,14.5,0,333,0.4051,1.1267,0.4051,179.59,179.59
pliers_box,30,15.0,0,333,0.4738,1.0984,0.4738,179.53,179.53
pliers_box,31,15.5,0,333,0.4565,1.0861,0.4565,179.54,179.54
pliers_box,32,16.0,0,333,0.4193,1.095,0.4193,179.58,179.58
pliers_box,33,16.5,0,333,0.3858,1.1188,0.3858,179.61,179.61
pliers_box,34,17.0,0,333,0.5043,1.0993,0.5043,179.5,179.5
pliers_box,35,17.5,0,333,0.4578,1.0859,0.4578,179.54,179.54
pliers_box,36,18.0,0,333,0.4012,1.0691,0.4012,179.6,179.6
pliers_box,37,18.5,0,333,0.4842,1.0526,0.4842,179.52,179.52
pliers_box,38,19.0,0,333,0.4883,1.0414,0.4883,179.51,179.51
