tool,frame,n_pts,raw_flip,raw_jit,raw_symerr,pose_flip,pose_jit,pose_symerr,rt_flip,rt_jit,rt_symerr
hammer,0,1391,0,0.0,0.602,0,0.0,1.3,0,0.0,0.602
hammer,1,1391,0,0.64,0.623,0,0.171,1.4,0,0.64,0.623
hammer,2,1391,0,0.562,0.66,0,0.263,1.568,0,0.562,0.66
hammer,3,1391,0,0.653,0.61,0,0.36,1.714,0,0.653,0.61
hammer,4,1391,0,0.565,0.622,0,0.414,1.822,0,0.565,0.622
hammer,5,1391,0,0.628,0.605,0,0.467,1.898,0,0.628,0.605
hammer,6,1391,0,0.581,0.621,0,0.496,1.962,0,0.581,0.621
hammer,7,1391,0,0.566,0.619,0,0.511,2.026,0,0.566,0.619
hammer,8,1391,0,0.672,0.582,0,0.552,2.07,0,0.672,0.582
hammer,9,1391,0,0.565,0.627,0,0.555,2.094,0,0.565,0.627
hammer,10,1391,1,179.379,0.636,0,44.43,46.944,0,0.621,0.636
hammer,11,1391,0,0.593,0.644,0,33.173,80.715,0,0.593,0.644
hammer,12,1391,1,179.388,0.587,0,20.273,61.046,0,0.612,0.587
hammer,13,1391,1,179.367,0.62,0,29.638,88.717,0,0.633,0.62
hammer,14,1391,0,0.587,0.615,0,22.083,66.035,0,0.587,0.615
hammer,15,1391,0,0.585,0.619,0,16.417,49.018,0,0.585,0.619
hammer,16,1391,0,0.573,0.65,0,12.169,36.251,0,0.573,0.65
hammer,17,1391,0,0.68,0.626,0,8.957,26.694,0,0.68,0.626
hammer,18,1391,0,0.533,0.603,0,6.585,19.509,0,0.533,0.603
hammer,19,1391,0,0.59,0.599,0,4.793,14.117,0,0.59,0.599
hammer,20,1391,0,0.604,0.612,0,3.443,10.075,0,0.604,0.612
hammer,21,1391,0,0.64,0.603,0,2.419,7.056,0,0.64,0.603
hammer,22,1391,0,0.576,0.632,0,1.672,4.786,0,0.576,0.632
hammer,23,1391,0,0.558,0.637,0,1.118,3.076,0,0.558,0.637
hammer,24,1391,0,0.648,0.609,0,0.675,1.808,0,0.648,0.609
hammer,25,1391,0,0.636,0.599,0,0.347,0.868,0,0.636,0.599
hammer,26,1391,0,0.616,0.622,0,0.112,0.189,0,0.616,0.622
hammer,27,1391,0,0.585,0.596,0,0.065,0.404,0,0.585,0.596
hammer,28,1391,0,0.517,0.65,0,0.181,0.813,0,0.517,0.65
hammer,29,1391,0,0.624,0.627,0,0.29,1.122,0,0.624,0.627
hammer,30,1391,0,0.631,0.625,0,0.377,1.345,0,0.631,0.625
hammer,31,1391,0,0.586,0.631,0,0.434,1.519,0,0.586,0.631
hammer,32,1391,0,0.555,0.662,0,0.462,1.664,0,0.555,0.662
hammer,33,1391,0,0.613,0.619,0,0.496,1.766,0,0.613,0.619
hammer,34,1391,0,0.672,0.592,0,0.54,1.825,0,0.672,0.592
hammer,35,1391,0,0.572,0.583,0,0.548,1.876,0,0.572,0.583
hammer,36,1391,0,0.59,0.595,0,0.56,1.918,0,0.59,0.595
hammer,37,1391,0,0.603,0.599,0,0.579,1.953,0,0.603,0.599
hammer,38,1391,0,0.614,0.611,0,0.583,1.974,0,0.614,0.611
hammer,39,1391,0,0.582,0.591,0,0.581,1.991,0,0.582,0.591
hammer,40,1391,0,0.601,0.647,0,0.585,2.002,0,0.601,0.647
hammer,41,1391,0,0.613,0.639,0,0.591,2.008,0,0.613,0.639
hammer,42,1391,0,0.59,0.618,0,0.59,2.016,0,0.59,0.618
hammer,43,1391,0,0.562,0.628,0,0.584,2.032,0,0.562,0.628
hammer,44,1391,0,0.62,0.596,0,0.591,2.04,0,0.62,0.596
