epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3472,0.76641,1.74751,3.70692,1.09179,0.01932,0.67265,0.09733,0.0773,0.01851,0.65777,0.09601,0.0661,0.73595,1.19889,3.16874,1.16471,0.000156843,0.000156843,0.000156843
2,29.6791,0.77634,1.28855,2.87428,1.08163,0.68338,0.17659,0.15408,0.12221,0.68452,0.17241,0.15094,0.10359,0.92766,1.30012,2.21898,1.2582,0.000305098,0.000305098,0.000305098
3,43.9051,0.74681,1.2094,2.24231,1.06871,0.78571,0.2198,0.23752,0.18082,0.78054,0.21234,0.22217,0.14564,0.96782,1.64154,1.96235,1.3075,0.000442881,0.000442881,0.000442881
4,57.9712,0.74412,1.16926,1.87488,1.05271,0.89535,0.26248,0.32125,0.26309,0.89679,0.2608,0.31852,0.23304,0.81442,1.2032,1.53119,1.25328,0.000428876,0.000428876,0.000428876
5,71.9793,0.68447,1.16595,1.65127,1.03098,0.90089,0.248,0.32048,0.25806,0.90138,0.24674,0.31418,0.23501,0.81588,1.19149,1.45702,1.2539,0.000413168,0.000413168,0.000413168
6,85.9342,0.64967,1.07463,1.50117,1.00057,0.77905,0.32101,0.35275,0.28861,0.7773,0.32061,0.34806,0.2625,0.81739,1.03522,1.45338,1.19757,0.00039746,0.00039746,0.00039746
7,100.15,0.63462,1.02192,1.39359,0.9992,0.63742,0.38713,0.36733,0.29948,0.63632,0.38475,0.36427,0.26073,0.72231,1.08504,1.32843,1.13713,0.000381752,0.000381752,0.000381752
8,114.252,0.61966,0.9862,1.3231,0.99859,0.79888,0.33735,0.36083,0.29657,0.79704,0.33548,0.35509,0.26908,0.7145,1.05754,1.28457,1.13484,0.000366044,0.000366044,0.000366044
9,128.47,0.5938,0.99029,1.23576,0.98578,0.83807,0.32045,0.37578,0.31536,0.83992,0.3207,0.37325,0.2892,0.65281,1.02263,1.14265,1.09222,0.000350336,0.000350336,0.000350336
10,142.773,0.59494,0.97944,1.18526,0.98248,0.84781,0.36479,0.40562,0.34335,0.84546,0.36252,0.40095,0.30244,0.64516,0.99051,1.06072,1.10331,0.000334628,0.000334628,0.000334628
11,157.615,0.59749,1.01276,1.16571,0.98723,0.89581,0.32439,0.38804,0.32339,0.89676,0.322,0.38605,0.29589,0.69722,0.9818,1.04719,1.15549,0.00031892,0.00031892,0.00031892
12,171.688,0.5641,0.92719,1.08879,0.9688,0.77281,0.39333,0.40861,0.34649,0.76568,0.38903,0.40002,0.30785,0.61788,1.04184,0.99556,1.06598,0.000303212,0.000303212,0.000303212
13,185.793,0.55737,0.9042,1.05081,0.96917,0.86087,0.36911,0.44007,0.36534,0.85911,0.36575,0.43599,0.33169,0.63034,1.02775,0.99398,1.07416,0.000287504,0.000287504,0.000287504
14,200.003,0.55474,0.90386,1.03414,0.96457,0.78188,0.37803,0.45079,0.39487,0.77677,0.37254,0.44552,0.35397,0.61477,0.97876,0.95601,1.05296,0.000271796,0.000271796,0.000271796
15,214.251,0.564,0.96961,1.01968,0.98531,0.67831,0.39447,0.53835,0.45506,0.67373,0.39077,0.53139,0.41729,0.61151,0.96551,0.87825,1.07219,0.000256088,0.000256088,0.000256088
16,228.854,0.51576,0.83416,0.90712,0.94668,0.87947,0.39568,0.5149,0.45123,0.87721,0.39297,0.51113,0.4077,0.57168,0.92607,0.83667,1.02054,0.00024038,0.00024038,0.00024038
17,245.273,0.51029,0.85944,0.93074,0.94873,0.64265,0.47383,0.4768,0.40526,0.64344,0.47404,0.47307,0.365,0.57892,0.99174,0.91927,1.04862,0.000224672,0.000224672,0.000224672
18,260.245,0.49482,0.82733,0.87128,0.93628,0.75734,0.39283,0.46371,0.40137,0.9283,0.36346,0.46107,0.3666,0.56437,0.89555,0.91207,1.02661,0.000208964,0.000208964,0.000208964
19,275.436,0.51055,0.80437,0.85833,0.94425,0.77773,0.3651,0.45403,0.40192,0.78666,0.3626,0.45049,0.35427,0.52182,0.91865,0.87276,1.02097,0.000193256,0.000193256,0.000193256
20,289.976,0.49705,0.82577,0.84826,0.94115,0.77942,0.38779,0.45348,0.3989,0.77383,0.38359,0.44557,0.35899,0.55092,0.90187,0.8861,1.0261,0.000177548,0.000177548,0.000177548
21,304.908,0.49888,0.80297,0.92397,1.01741,0.73995,0.4901,0.49588,0.42224,0.73815,0.48773,0.49487,0.37698,0.5555,0.89849,0.85267,0.98602,0.00016184,0.00016184,0.00016184
22,324.746,0.46015,0.67236,0.75407,0.9782,0.77079,0.50334,0.50751,0.42612,0.76915,0.50169,0.50343,0.38402,0.50959,0.89354,0.81338,0.98367,0.000146132,0.000146132,0.000146132
23,338.951,0.44698,0.66175,0.71649,0.96326,0.70125,0.55061,0.55186,0.45009,0.70273,0.55216,0.55291,0.40703,0.525,0.90106,0.81376,0.98108,0.000130424,0.000130424,0.000130424
